Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Brazil,2017,Ransomware,Education,80.5,279808,Insider,Social Engineering,Antivirus,60
India,2024,SQL Injection,Telecommunications,71.2,190099,Unknown,Zero-day,AI-based Detection,15
Brazil,2019,Malware,Government,12.04,713035,Nation-state,Social Engineering,AI-based Detection,59
Australia,2016,Malware,Retail,29.05,817347,Nation-state,Weak Passwords,Antivirus,68
Germany,2023,Ransomware,Healthcare,28.18,707214,Unknown,Weak Passwords,AI-based Detection,11
UK,2016,DDoS,Retail,39.26,668780,Hacker Group,Zero-day,Firewall,33
Russia,2015,DDoS,Telecommunications,57.21,609196,Unknown,Social Engineering,VPN,4
USA,2021,Man-in-the-Middle,Telecommunications,83.88,980367,Nation-state,Unpatched Software,Firewall,3
Russia,2022,Man-in-the-Middle,IT,84.1,919858,Nation-state,Unpatched Software,Encryption,47
France,2017,DDoS,Healthcare,39.49,195459,Hacker Group,Weak Passwords,Encryption,14
Russia,2015,Man-in-the-Middle,Government,46.76,713342,Unknown,Weak Passwords,Encryption,36
UK,2019,DDoS,Banking,80.68,19007,Nation-state,Unpatched Software,VPN,29
China,2022,Ransomware,Government,86.56,963091,Insider,Zero-day,VPN,37
UK,2017,Malware,Government,66.25,726887,Hacker Group,Social Engineering,Firewall,13
Russia,2021,DDoS,IT,78.76,130413,Unknown,Social Engineering,Encryption,66
Germany,2017,Malware,Banking,97.68,906914,Hacker Group,Zero-day,AI-based Detection,15
China,2020,Ransomware,IT,14.94,557218,Nation-state,Zero-day,Firewall,70
Russia,2018,SQL Injection,Banking,59.29,380543,Unknown,Weak Passwords,VPN,26
UK,2022,Malware,Retail,39.55,337363,Insider,Social Engineering,VPN,2
China,2018,DDoS,IT,14.04,803086,Nation-state,Social Engineering,VPN,23
China,2024,Man-in-the-Middle,IT,63.79,195858,Hacker Group,Zero-day,Encryption,1
India,2019,Malware,Banking,37.03,358371,Insider,Weak Passwords,AI-based Detection,30
Australia,2019,Phishing,Retail,9.12,212267,Insider,Zero-day,Antivirus,14
France,2021,Man-in-the-Middle,Healthcare,52.04,757744,Nation-state,Zero-day,Antivirus,43
Japan,2017,Ransomware,Retail,59.13,747705,Insider,Unpatched Software,VPN,47
USA,2024,Phishing,Telecommunications,64.67,996651,Hacker Group,Weak Passwords,Encryption,69
UK,2015,Ransomware,Government,52.78,281905,Insider,Social Engineering,VPN,32
Brazil,2019,Man-in-the-Middle,Healthcare,7.44,739981,Unknown,Social Engineering,Antivirus,54
France,2016,SQL Injection,Telecommunications,47.19,554448,Hacker Group,Social Engineering,Antivirus,31
USA,2016,Ransomware,Healthcare,99.19,745103,Insider,Unpatched Software,Encryption,8
India,2015,DDoS,Healthcare,10.94,600279,Insider,Unpatched Software,AI-based Detection,16
Russia,2016,Man-in-the-Middle,IT,48.86,973654,Unknown,Unpatched Software,Encryption,23
China,2016,DDoS,Telecommunications,80.48,78123,Hacker Group,Social Engineering,Antivirus,50
UK,2015,Man-in-the-Middle,Government,69.96,675955,Insider,Zero-day,Antivirus,60
China,2016,DDoS,IT,18.96,122866,Insider,Unpatched Software,VPN,46
Russia,2018,Ransomware,Education,66.33,177570,Nation-state,Social Engineering,Encryption,72
France,2024,Man-in-the-Middle,Retail,60.4,774913,Unknown,Unpatched Software,Antivirus,43
China,2024,Phishing,IT,24.92,852327,Unknown,Zero-day,VPN,44
Australia,2019,DDoS,IT,32.06,775033,Hacker Group,Zero-day,Antivirus,8
China,2022,Phishing,Telecommunications,71.77,823093,Insider,Zero-day,Firewall,36
France,2018,Phishing,Government,70.59,947445,Insider,Social Engineering,Encryption,59
Japan,2018,DDoS,IT,75.34,972713,Unknown,Unpatched Software,Encryption,71
France,2023,Malware,Banking,9.99,116840,Unknown,Zero-day,Firewall,51
USA,2021,Ransomware,Telecommunications,91.94,710953,Unknown,Zero-day,Firewall,9
Russia,2015,DDoS,IT,66.09,467190,Nation-state,Social Engineering,AI-based Detection,25
Germany,2024,Phishing,Healthcare,66.73,540773,Unknown,Unpatched Software,VPN,15
Australia,2018,SQL Injection,Banking,40.11,874040,Unknown,Social Engineering,Firewall,6
Australia,2022,SQL Injection,Healthcare,60.71,8498,Nation-state,Weak Passwords,VPN,17
USA,2016,DDoS,IT,18.48,112881,Hacker Group,Social Engineering,VPN,32
Japan,2018,DDoS,IT,9.9,942725,Insider,Zero-day,VPN,56
France,2024,Phishing,Education,52.03,168684,Nation-state,Unpatched Software,VPN,27
Japan,2018,DDoS,Telecommunications,25.06,559274,Hacker Group,Social Engineering,Firewall,27
UK,2016,Phishing,Retail,13.68,144856,Unknown,Unpatched Software,Antivirus,13
Japan,2015,Malware,Banking,2.63,418914,Nation-state,Unpatched Software,Firewall,53
Brazil,2024,Phishing,Retail,88.47,842945,Hacker Group,Weak Passwords,Firewall,67
UK,2022,DDoS,Government,50.04,841198,Unknown,Zero-day,VPN,41
Germany,2024,Phishing,Government,19.52,50054,Insider,Unpatched Software,Antivirus,24
Brazil,2020,DDoS,Telecommunications,4.52,52302,Unknown,Social Engineering,VPN,58
India,2015,Man-in-the-Middle,Banking,97.28,694308,Nation-state,Weak Passwords,VPN,66
China,2019,Malware,Telecommunications,62.67,520232,Nation-state,Weak Passwords,Encryption,53
Germany,2018,SQL Injection,Retail,46.34,575379,Unknown,Zero-day,AI-based Detection,35
Russia,2023,Man-in-the-Middle,IT,26.45,850714,Hacker Group,Unpatched Software,Encryption,6
Germany,2023,SQL Injection,Healthcare,14.12,403325,Hacker Group,Weak Passwords,AI-based Detection,35
Brazil,2022,Phishing,Education,80.99,345577,Insider,Unpatched Software,Encryption,4
Australia,2017,Man-in-the-Middle,IT,30.51,428352,Hacker Group,Unpatched Software,Firewall,41
Brazil,2023,Phishing,Banking,69.45,852592,Nation-state,Zero-day,AI-based Detection,12
USA,2019,SQL Injection,Education,78.12,36804,Unknown,Weak Passwords,VPN,30
Brazil,2020,Phishing,Telecommunications,92.63,725707,Hacker Group,Weak Passwords,AI-based Detection,9
Australia,2017,Man-in-the-Middle,Telecommunications,35.27,765929,Nation-state,Weak Passwords,Firewall,16
Russia,2017,Man-in-the-Middle,Retail,17.22,242574,Nation-state,Social Engineering,Encryption,59
USA,2021,SQL Injection,Education,45.52,838652,Unknown,Social Engineering,Encryption,20
Japan,2018,DDoS,Telecommunications,99.04,389405,Nation-state,Weak Passwords,Antivirus,53
Russia,2022,Phishing,Telecommunications,56.44,359577,Unknown,Zero-day,Encryption,38
India,2022,Man-in-the-Middle,Telecommunications,73.24,943689,Insider,Zero-day,Firewall,32
Brazil,2024,SQL Injection,Education,14.69,783795,Insider,Weak Passwords,AI-based Detection,43
Germany,2017,DDoS,Healthcare,72.05,263506,Insider,Zero-day,Encryption,49
Australia,2020,DDoS,Telecommunications,20.59,457184,Insider,Social Engineering,VPN,11
India,2019,SQL Injection,Banking,68.44,186842,Nation-state,Zero-day,VPN,40
UK,2018,DDoS,Banking,8.81,198929,Nation-state,Weak Passwords,AI-based Detection,41
Japan,2018,SQL Injection,Retail,51.58,65700,Hacker Group,Zero-day,Encryption,28
Brazil,2021,Phishing,Telecommunications,83.79,90156,Hacker Group,Unpatched Software,Antivirus,65
Australia,2015,DDoS,Telecommunications,14.55,470471,Nation-state,Unpatched Software,VPN,53
China,2021,Malware,Retail,20.52,33426,Unknown,Social Engineering,Antivirus,16
Russia,2024,Malware,Education,83.29,143037,Insider,Unpatched Software,Firewall,47
Germany,2022,Ransomware,Telecommunications,79.77,151930,Unknown,Zero-day,Encryption,4
China,2018,Malware,Education,97.2,499651,Nation-state,Zero-day,Encryption,50
Brazil,2017,DDoS,Education,41.63,249211,Insider,Zero-day,AI-based Detection,59
Germany,2024,SQL Injection,IT,1.01,470074,Insider,Weak Passwords,Encryption,9
Japan,2015,Phishing,Banking,87.5,429920,Nation-state,Zero-day,Encryption,37
Australia,2019,SQL Injection,Healthcare,0.75,269314,Unknown,Social Engineering,VPN,64
UK,2019,Man-in-the-Middle,Healthcare,37.16,696199,Nation-state,Weak Passwords,Encryption,42
Russia,2020,Phishing,Banking,98.38,355505,Nation-state,Unpatched Software,AI-based Detection,35
Australia,2023,DDoS,IT,55.94,890234,Nation-state,Unpatched Software,VPN,53
Brazil,2019,Ransomware,Telecommunications,23.63,581616,Insider,Social Engineering,Encryption,1
China,2021,SQL Injection,IT,39.44,155768,Nation-state,Social Engineering,AI-based Detection,19
Australia,2024,Malware,Telecommunications,83.69,824298,Nation-state,Unpatched Software,Firewall,4
UK,2018,Malware,Government,28.88,212533,Insider,Unpatched Software,Antivirus,71
Brazil,2019,Ransomware,Banking,10.1,47737,Hacker Group,Social Engineering,Encryption,69
Brazil,2018,Man-in-the-Middle,IT,47.01,940513,Unknown,Unpatched Software,Encryption,10
Russia,2021,Man-in-the-Middle,Banking,18.66,292992,Insider,Zero-day,Encryption,15
Germany,2024,Malware,Telecommunications,79.72,639779,Nation-state,Zero-day,Antivirus,6
Australia,2019,DDoS,Banking,29.85,949862,Hacker Group,Weak Passwords,Firewall,25
USA,2021,Phishing,Healthcare,0.92,260396,Hacker Group,Zero-day,Antivirus,16
Australia,2024,Phishing,IT,92.48,215376,Nation-state,Social Engineering,Firewall,18
France,2016,DDoS,Telecommunications,20.09,689397,Insider,Social Engineering,AI-based Detection,68
Brazil,2016,SQL Injection,Education,16.24,238092,Nation-state,Zero-day,AI-based Detection,32
India,2019,Phishing,Banking,18.42,289539,Nation-state,Unpatched Software,Antivirus,27
Russia,2020,DDoS,Healthcare,49.02,382327,Insider,Zero-day,VPN,30
Australia,2018,Phishing,Government,12.43,605810,Unknown,Zero-day,Firewall,41
Australia,2019,DDoS,Banking,1.27,588345,Insider,Unpatched Software,Firewall,49
UK,2019,Phishing,Government,21.58,831367,Insider,Social Engineering,Antivirus,55
Brazil,2019,Man-in-the-Middle,Banking,14.64,880671,Hacker Group,Social Engineering,Firewall,66
France,2023,DDoS,Retail,92.32,418211,Insider,Unpatched Software,Encryption,39
France,2022,Man-in-the-Middle,Retail,31.4,264380,Insider,Zero-day,VPN,37
Brazil,2017,Phishing,Banking,9.25,437974,Hacker Group,Zero-day,Encryption,20
India,2021,Phishing,IT,37.1,713949,Hacker Group,Unpatched Software,Antivirus,71
USA,2022,SQL Injection,IT,8.5,523164,Hacker Group,Weak Passwords,AI-based Detection,30
UK,2015,DDoS,Telecommunications,85.23,193852,Insider,Zero-day,VPN,54
UK,2024,DDoS,Retail,14.09,655640,Nation-state,Zero-day,Firewall,61
France,2021,Phishing,IT,76.02,573328,Insider,Zero-day,AI-based Detection,10
UK,2019,Malware,Government,46.27,798717,Hacker Group,Social Engineering,Encryption,10
Brazil,2019,DDoS,Telecommunications,59.86,899413,Nation-state,Weak Passwords,Encryption,11
France,2017,SQL Injection,Healthcare,18.75,436009,Nation-state,Social Engineering,AI-based Detection,44
UK,2020,SQL Injection,Retail,56.3,142291,Nation-state,Weak Passwords,VPN,29
Germany,2019,Man-in-the-Middle,Government,64.8,276197,Unknown,Zero-day,Firewall,2
Russia,2020,Ransomware,IT,33.61,807918,Hacker Group,Social Engineering,Antivirus,37
France,2021,Man-in-the-Middle,Telecommunications,90.99,483484,Hacker Group,Unpatched Software,VPN,2
Russia,2015,Ransomware,IT,41.79,7290,Insider,Weak Passwords,AI-based Detection,32
India,2022,DDoS,IT,38.69,333967,Insider,Zero-day,Firewall,26
China,2020,Man-in-the-Middle,Education,84.4,840118,Hacker Group,Zero-day,Encryption,58
USA,2024,Malware,Healthcare,69.46,187312,Nation-state,Zero-day,VPN,58
Brazil,2024,DDoS,IT,34.46,470727,Unknown,Weak Passwords,Firewall,8
India,2023,Malware,Education,95.97,629490,Hacker Group,Zero-day,VPN,38
France,2021,SQL Injection,Government,98.76,904598,Hacker Group,Social Engineering,AI-based Detection,11
USA,2017,Ransomware,Education,12.59,820632,Unknown,Social Engineering,AI-based Detection,65
Japan,2019,DDoS,Retail,78.78,214152,Insider,Weak Passwords,Firewall,7
Australia,2024,DDoS,Banking,21.11,18766,Insider,Weak Passwords,Firewall,43
France,2020,Malware,Banking,50.19,760230,Nation-state,Zero-day,VPN,56
India,2021,Ransomware,Healthcare,76.83,603402,Insider,Zero-day,AI-based Detection,57
France,2020,Man-in-the-Middle,Healthcare,17.49,693907,Hacker Group,Zero-day,AI-based Detection,54
Brazil,2017,SQL Injection,Banking,66.78,698892,Unknown,Zero-day,AI-based Detection,24
UK,2015,Phishing,IT,24.17,64082,Unknown,Social Engineering,Antivirus,16
USA,2022,Ransomware,IT,38.84,687052,Nation-state,Unpatched Software,Encryption,34
Russia,2018,Phishing,Government,14.98,417488,Hacker Group,Weak Passwords,Encryption,23
Germany,2020,Ransomware,Telecommunications,15.14,970038,Nation-state,Zero-day,Firewall,47
Japan,2016,SQL Injection,Government,10.4,240441,Unknown,Zero-day,Antivirus,17
India,2020,Man-in-the-Middle,Banking,59.67,747418,Insider,Unpatched Software,VPN,20
Japan,2019,Malware,Retail,36.66,977185,Insider,Social Engineering,Antivirus,71
India,2019,Malware,Retail,58.98,267401,Unknown,Zero-day,Firewall,20
Germany,2022,Ransomware,Retail,19.47,496271,Hacker Group,Unpatched Software,AI-based Detection,20
France,2015,Phishing,Banking,64.62,104619,Insider,Unpatched Software,Antivirus,68
Russia,2024,Ransomware,Healthcare,98.25,877571,Insider,Weak Passwords,Antivirus,19
Japan,2020,Ransomware,Healthcare,41.88,93314,Hacker Group,Unpatched Software,VPN,24
Brazil,2020,DDoS,Government,13.22,790415,Hacker Group,Zero-day,Encryption,52
Germany,2020,Ransomware,IT,54.65,107180,Nation-state,Zero-day,Antivirus,68
Japan,2018,Phishing,IT,72.01,401960,Nation-state,Unpatched Software,VPN,44
USA,2020,Ransomware,Telecommunications,93.89,602474,Unknown,Social Engineering,VPN,71
Australia,2024,Phishing,Education,18.64,701144,Hacker Group,Unpatched Software,Antivirus,41
UK,2024,Malware,Education,64.05,116714,Insider,Social Engineering,Encryption,37
France,2016,Man-in-the-Middle,IT,41.79,453408,Nation-state,Social Engineering,VPN,8
UK,2022,Phishing,Retail,13.37,40843,Unknown,Weak Passwords,Encryption,66
Australia,2015,Man-in-the-Middle,Healthcare,1.62,336650,Hacker Group,Zero-day,VPN,35
China,2017,Phishing,Healthcare,92.64,911233,Hacker Group,Weak Passwords,AI-based Detection,18
Brazil,2023,Ransomware,Telecommunications,32.18,812908,Hacker Group,Weak Passwords,Antivirus,12
China,2019,SQL Injection,Education,64.26,796878,Nation-state,Zero-day,Antivirus,26
Japan,2023,Man-in-the-Middle,Government,81.57,738014,Unknown,Social Engineering,Antivirus,24
USA,2021,DDoS,Education,87.32,315915,Nation-state,Social Engineering,Antivirus,52
China,2022,Ransomware,Education,70.44,164734,Nation-state,Unpatched Software,Firewall,7
India,2024,Man-in-the-Middle,IT,1.75,617939,Unknown,Zero-day,Firewall,22
Germany,2021,Phishing,Healthcare,96.81,374164,Hacker Group,Weak Passwords,Antivirus,53
USA,2020,Phishing,Banking,74.51,332766,Hacker Group,Weak Passwords,Antivirus,53
Brazil,2018,Phishing,Healthcare,2.52,414899,Unknown,Weak Passwords,Encryption,37
Brazil,2017,DDoS,Retail,81.63,140371,Hacker Group,Zero-day,Encryption,13
Australia,2019,Ransomware,Education,43.53,729109,Insider,Weak Passwords,VPN,22
UK,2020,DDoS,Education,84.28,776200,Unknown,Weak Passwords,Encryption,49
Russia,2019,Phishing,Healthcare,17.6,839921,Unknown,Zero-day,Antivirus,5
France,2019,Malware,Education,31.35,312314,Unknown,Social Engineering,AI-based Detection,35
Australia,2024,Man-in-the-Middle,Healthcare,65.72,299613,Hacker Group,Zero-day,Firewall,20
India,2016,Phishing,Banking,43.81,250482,Insider,Weak Passwords,VPN,20
Brazil,2021,DDoS,Banking,84.41,230110,Unknown,Social Engineering,Antivirus,51
Australia,2015,SQL Injection,Retail,55.78,852650,Nation-state,Social Engineering,AI-based Detection,50
Germany,2024,DDoS,Telecommunications,67.47,337890,Unknown,Weak Passwords,Antivirus,35
Japan,2016,Malware,Education,8.08,557108,Nation-state,Zero-day,Firewall,17
Australia,2022,DDoS,Telecommunications,46.2,299968,Insider,Zero-day,Antivirus,46
China,2022,Phishing,Telecommunications,72.06,459296,Nation-state,Weak Passwords,AI-based Detection,13
India,2019,Ransomware,Telecommunications,90.48,46972,Nation-state,Social Engineering,VPN,23
UK,2022,Malware,Healthcare,21.26,602041,Hacker Group,Unpatched Software,AI-based Detection,25
Japan,2016,Phishing,Banking,82.93,36797,Insider,Unpatched Software,VPN,2
China,2021,SQL Injection,Healthcare,23.15,730762,Insider,Social Engineering,VPN,19
Russia,2016,Malware,Government,66.19,91194,Hacker Group,Unpatched Software,Encryption,72
India,2015,SQL Injection,Banking,95.81,42883,Unknown,Zero-day,Encryption,37
UK,2024,SQL Injection,Retail,48.33,422592,Nation-state,Unpatched Software,VPN,37
India,2015,Man-in-the-Middle,Healthcare,29.54,837320,Unknown,Social Engineering,VPN,14
USA,2020,Phishing,Banking,44.08,708034,Unknown,Zero-day,AI-based Detection,39
Japan,2024,Phishing,IT,91.71,47841,Hacker Group,Weak Passwords,Antivirus,23
Japan,2015,SQL Injection,Banking,73.94,274703,Nation-state,Social Engineering,Encryption,6
Australia,2021,Malware,Healthcare,10.35,776819,Insider,Unpatched Software,VPN,64
Germany,2019,Man-in-the-Middle,IT,89.6,544648,Unknown,Weak Passwords,Antivirus,47
China,2024,Man-in-the-Middle,Government,11.99,735203,Insider,Zero-day,VPN,66
India,2018,SQL Injection,Education,77.02,424342,Unknown,Social Engineering,Antivirus,57
Russia,2018,Malware,Retail,78.82,155353,Unknown,Weak Passwords,VPN,67
Germany,2020,DDoS,Banking,64.64,735855,Insider,Unpatched Software,Firewall,23
France,2016,Man-in-the-Middle,IT,11.91,765453,Unknown,Social Engineering,Antivirus,39
Japan,2024,SQL Injection,Education,82.52,788243,Insider,Social Engineering,VPN,38
Germany,2017,Phishing,Banking,69.85,253058,Hacker Group,Social Engineering,Encryption,44
Australia,2022,Phishing,Healthcare,80.11,537530,Nation-state,Zero-day,Encryption,14
China,2023,SQL Injection,Banking,2.46,95779,Nation-state,Zero-day,VPN,43
France,2024,Phishing,Healthcare,59.79,906160,Unknown,Zero-day,VPN,48
Russia,2019,Ransomware,Education,11.06,490910,Insider,Zero-day,AI-based Detection,58
UK,2020,SQL Injection,Banking,73.69,522097,Hacker Group,Weak Passwords,VPN,63
Germany,2016,Man-in-the-Middle,Retail,53.57,218143,Nation-state,Unpatched Software,Encryption,27
Germany,2018,Malware,IT,30.2,667023,Unknown,Zero-day,Antivirus,26
Australia,2023,Malware,Education,67.23,362308,Unknown,Social Engineering,AI-based Detection,5
Russia,2023,DDoS,IT,86.81,717258,Insider,Unpatched Software,Firewall,16
Brazil,2018,Man-in-the-Middle,Retail,76.39,984,Insider,Unpatched Software,Firewall,56
Russia,2023,DDoS,Telecommunications,96.61,956064,Insider,Weak Passwords,Antivirus,45
Australia,2024,Malware,Retail,64.3,891367,Nation-state,Social Engineering,Firewall,21
China,2019,Man-in-the-Middle,IT,79.33,842637,Nation-state,Unpatched Software,AI-based Detection,55
USA,2015,DDoS,IT,45.91,772018,Hacker Group,Weak Passwords,Encryption,46
Australia,2022,Malware,IT,41.67,945897,Insider,Weak Passwords,Firewall,66
Germany,2018,SQL Injection,Banking,81.33,508544,Insider,Unpatched Software,VPN,45
Australia,2021,Ransomware,Healthcare,91.8,125309,Unknown,Social Engineering,Antivirus,13
UK,2024,Man-in-the-Middle,IT,3.69,529410,Insider,Zero-day,Firewall,59
Australia,2018,Phishing,Education,24.25,665381,Insider,Unpatched Software,AI-based Detection,61
Japan,2019,Man-in-the-Middle,Telecommunications,89.5,163110,Nation-state,Zero-day,Encryption,35
